City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,Guerrero Negro,27.98,-114.06,62.4,31,0,8.08,MX,2020-10-27 14:42:35
98,Superior,46.72,-92.1,23.0,67,1,9.17,US,2020-10-27 14:42:36
99,Imbituba,-28.24,-48.67,80.6,61,40,12.75,BR,2020-10-27 14:42:36
100,Iqaluit,63.75,-68.51,14.0,78,75,5.82,CA,2020-10-27 14:42:36
101,Shelburne,44.08,-80.2,41.0,93,90,3.87,CA,2020-10-27 14:42:36
102,Mandalgarh,25.2,75.1,74.86,20,0,1.79,IN,2020-10-27 14:42:36
103,Talara,-4.58,-81.27,68.0,77,40,16.11,PE,2020-10-27 14:42:36
104,Coihaique,-45.58,-72.07,39.2,86,90,2.24,CL,2020-10-27 14:42:36
105,Puerto Ayora,-0.74,-90.35,69.01,89,100,5.99,EC,2020-10-27 14:42:37
106,Kerouane,9.27,-9.02,87.6,42,74,6.04,GN,2020-10-27 14:42:37
107,Moron,-34.65,-58.62,72.0,37,0,6.93,AR,2020-10-27 14:42:37
108,Bambous Virieux,-20.34,57.76,77.0,69,40,9.17,MU,2020-10-27 14:42:37
109,Barra,-11.09,-43.14,81.63,63,95,4.52,BR,2020-10-27 14:42:37
110,Airai,-8.93,125.41,62.2,100,94,1.52,TL,2020-10-27 14:42:37
111,Tessalit,20.2,1.01,94.86,10,0,10.07,ML,2020-10-27 14:42:37
112,Ust-Ordynskiy,52.8,104.75,32.0,92,0,6.71,RU,2020-10-27 14:42:38
113,Lompoc,34.64,-120.46,44.6,87,1,6.93,US,2020-10-27 14:42:38
114,Maceio,-9.67,-35.74,86.0,58,75,10.29,BR,2020-10-27 14:38:44
115,Klaksvik,62.23,-6.59,42.8,70,60,16.11,FO,2020-10-27 14:42:38
116,Novo Aripuana,-5.12,-60.38,85.62,66,100,2.95,BR,2020-10-27 14:42:38
117,Tema,5.67,-0.02,84.2,74,40,10.29,GH,2020-10-27 14:42:38
118,Mitsamiouli,-11.38,43.28,79.38,71,34,6.62,KM,2020-10-27 14:42:38
119,Young,-32.68,-57.63,65.84,39,0,4.72,UY,2020-10-27 14:42:39
120,Half Moon Bay,37.46,-122.43,64.4,39,1,3.36,US,2020-10-27 14:42:39
121,Mongua,5.75,-72.8,64.38,63,29,1.19,CO,2020-10-27 14:42:39
122,Lukovetskiy,64.3,41.92,37.4,100,90,4.47,RU,2020-10-27 14:42:39
123,Mount Isa,-20.73,139.5,73.4,15,0,11.41,AU,2020-10-27 14:42:39
