City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,Rio Grande,-32.03,-52.1,77.0,80,100,11.39,BR,2020-10-23 16:15:12
129,La Paz,-16.5,-68.15,57.2,50,40,6.93,BO,2020-10-23 16:14:38
130,Mehamn,71.04,27.85,37.4,93,90,27.51,NO,2020-10-23 16:16:02
131,Haelen,51.24,5.96,61.0,91,50,8.68,NL,2020-10-23 16:16:03
132,Longyearbyen,78.22,15.64,19.4,73,20,2.24,SJ,2020-10-23 16:16:03
133,Mount Gambier,-37.83,140.77,50.0,87,40,13.87,AU,2020-10-23 16:16:03
134,Fairbanks,64.84,-147.72,18.0,84,1,3.33,US,2020-10-23 16:16:03
135,Bambous Virieux,-20.34,57.76,75.2,69,40,11.41,MU,2020-10-23 16:16:03
136,Avarua,-21.21,-159.78,73.4,73,99,10.29,CK,2020-10-23 16:16:04
137,Beyneu,45.32,55.2,41.29,64,21,8.66,KZ,2020-10-23 16:16:04
138,Vila Velha,-20.33,-40.29,79.0,69,20,8.05,BR,2020-10-23 16:15:17
139,Ulaangom,49.98,92.07,33.28,90,100,2.08,MN,2020-10-23 16:16:04
140,Opuwo,-18.06,13.84,92.84,15,80,5.3,NA,2020-10-23 16:16:04
141,Broken Hill,-31.95,141.43,62.6,93,75,16.11,AU,2020-10-23 16:16:04
142,Bol,13.46,14.71,90.05,37,30,9.42,TD,2020-10-23 16:16:04
143,Salinopolis,-0.61,-47.36,85.86,60,67,12.95,BR,2020-10-23 16:16:05
144,Manaquiri,-3.32,-60.35,78.8,83,75,2.24,BR,2020-10-23 16:16:05
145,Portland,45.52,-122.68,43.0,86,75,3.36,US,2020-10-23 16:15:43
146,Bonthe,7.53,-12.51,83.91,70,58,8.03,SL,2020-10-23 16:16:05
147,Huarmey,-10.07,-78.15,69.12,67,93,10.94,PE,2020-10-23 16:16:05
148,Taoudenni,22.68,-3.98,104.9,7,0,6.11,ML,2020-10-23 16:16:05
149,Barcelona,41.39,2.16,75.2,36,20,12.75,ES,2020-10-23 16:12:42
150,Ranong,9.97,98.63,77.04,83,100,3.2,TH,2020-10-23 16:16:06
151,Phonhong,18.5,102.42,71.17,86,54,0.58,LA,2020-10-23 16:16:06
152,Bonavista,48.65,-53.11,45.0,75,73,8.01,CA,2020-10-23 16:16:06
153,Povenets,62.85,34.83,40.93,94,100,3.0,RU,2020-10-23 16:16:06
154,Dingle,11.0,122.67,76.37,91,100,6.06,PH,2020-10-23 16:16:06
155,Mahon,39.89,4.27,69.8,77,0,6.93,ES,2020-10-23 16:16:06
156,Orotukan,62.27,151.7,26.65,89,98,7.85,RU,2020-10-23 16:16:07
157,Caravelas,-17.71,-39.25,76.21,82,100,5.08,BR,2020-10-23 16:16:07
158,Methoni,36.82,21.7,72.0,68,0,8.99,GR,2020-10-23 16:16:07
159,Lavrentiya,65.58,-171.0,33.75,91,74,9.46,RU,2020-10-23 16:16:07
160,Kavieng,-2.57,150.8,81.95,67,3,5.91,PG,2020-10-23 16:16:07
161,Ilulissat,69.22,-51.1,21.2,67,75,5.82,GL,2020-10-23 16:16:07
162,Dalbandin,28.89,64.41,59.88,32,0,5.01,PK,2020-10-23 16:16:07
163,Saskylakh,71.92,114.08,20.35,97,100,9.6,RU,2020-10-23 16:12:08
164,Mabaruma,8.2,-59.78,82.31,88,97,4.43,GY,2020-10-23 16:16:08
165,Mar Del Plata,-38.0,-57.56,59.0,93,90,5.82,AR,2020-10-23 16:12:47
166,Murray Bridge,-35.12,139.27,53.01,89,100,4.0,AU,2020-10-23 16:13:20
167,Moerai,-22.43,-151.33,70.11,86,100,21.36,PF,2020-10-23 16:16:08
168,Urumqi,43.8,87.6,51.8,40,0,4.47,CN,2020-10-23 16:16:08
169,Serenje,-13.23,30.24,74.44,33,26,5.06,ZM,2020-10-23 16:16:08
170,Suicheng,33.9,117.93,49.53,47,0,4.63,CN,2020-10-23 16:16:08
171,Cayenne,4.93,-52.33,91.4,52,0,9.17,GF,2020-10-23 16:15:12
172,Rocha,-34.48,-54.33,68.45,84,99,4.41,UY,2020-10-23 16:16:09
173,Jaszbereny,47.5,19.92,62.6,72,0,3.51,HU,2020-10-23 16:16:09
174,Belousovka,50.13,82.52,37.4,93,90,4.47,KZ,2020-10-23 16:16:09
175,Bethel,41.37,-73.41,64.4,93,90,5.82,US,2020-10-23 16:16:09
176,Buin,-33.73,-70.75,79.0,46,9,4.7,CL,2020-10-23 16:11:59
177,Nantucket,41.28,-70.1,68.0,52,1,6.93,US,2020-10-23 16:15:15
178,Berlevag,70.86,29.09,37.4,86,75,39.15,NO,2020-10-23 16:16:09
179,Tura,25.52,90.22,70.05,98,100,5.01,IN,2020-10-23 16:16:09
180,Port Hardy,50.7,-127.42,41.0,93,90,24.16,CA,2020-10-23 16:15:02
181,Derzhavinsk,51.1,66.32,28.29,84,34,5.23,KZ,2020-10-23 16:16:10
182,Saint-Augustin,51.23,-58.65,39.96,65,54,7.54,CA,2020-10-23 16:16:10
183,Victoria,22.29,114.16,75.99,46,100,22.84,HK,2020-10-23 16:15:24
184,Batemans Bay,-35.72,150.18,64.0,94,100,1.01,AU,2020-10-23 16:16:10
185,Adrar,20.5,-10.07,96.08,10,10,1.86,MR,2020-10-23 16:16:10
186,Asyut,27.18,31.18,86.0,40,0,12.75,EG,2020-10-23 16:15:02
187,Vestmannaeyjar,63.44,-20.27,44.6,87,75,23.04,IS,2020-10-23 16:16:11
188,Luderitz,-26.65,15.16,64.29,70,7,5.12,NA,2020-10-23 16:16:11
189,Ipilan,8.84,117.9,80.42,79,98,9.19,PH,2020-10-23 16:16:11
190,East London,-33.02,27.91,71.6,83,20,17.22,ZA,2020-10-23 16:16:11
191,Yenagoa,4.92,6.26,81.14,83,94,6.17,NG,2020-10-23 16:16:07
192,Kathmandu,27.72,85.32,62.6,88,20,3.36,NP,2020-10-23 16:13:03
193,Port Elizabeth,-33.92,25.57,68.0,82,0,18.34,ZA,2020-10-23 16:13:31
194,Lac Du Bonnet,50.25,-96.06,28.99,98,100,7.0,CA,2020-10-23 16:16:11
